date,price_normalized,26-18,26-20,26-22,26-24,24-18,24-20,24-22,22-18,22-20,20-18,
01/07/2019 21:06,0.35,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 21:12,0.35,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 21:18,0.35,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 21:24,0.35,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 21:30,0.35,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 21:36,0.35,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 21:42,0.35,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 21:48,0.35,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 21:54,0.35,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 22:00,0.35,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 22:06,0.33,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 22:12,0.33,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 22:18,0.33,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 22:24,0.33,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 22:30,0.33,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 22:36,0.33,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 22:42,0.33,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 22:48,0.33,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 22:54,0.33,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 23:00,0.33,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 23:06,0.33,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 23:12,0.33,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 23:18,0.33,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 23:24,0.33,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 23:30,0.33,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 23:36,0.33,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 23:42,0.33,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 23:48,0.33,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 23:54,0.33,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
02/07/2019 0:00,0.33,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
